date,nav
23-02-2017,42.186
22-02-2017,42.1
21-02-2017,42.383
20-02-2017,42.154
17-02-2017,41.692
16-02-2017,41.53
15-02-2017,41.1
14-02-2017,41.623
13-02-2017,41.738
10-02-2017,41.679
09-02-2017,41.484
08-02-2017,41.439
07-02-2017,41.282
06-02-2017,41.323
03-02-2017,40.995
02-02-2017,40.7
01-02-2017,40.368
31-01-2017,39.594
30-01-2017,39.967
27-01-2017,40.019
25-01-2017,39.854
24-01-2017,39.278
23-01-2017,38.847
20-01-2017,38.706
19-01-2017,39.154
18-01-2017,38.926
17-01-2017,38.689
16-01-2017,38.728
13-01-2017,38.583
12-01-2017,38.627
11-01-2017,38.676
10-01-2017,38.099
09-01-2017,37.834
06-01-2017,37.869
05-01-2017,37.93
04-01-2017,37.457
03-01-2017,37.514
02-01-2017,37.304
30-12-2016,37.067
29-12-2016,36.775
28-12-2016,36.436
27-12-2016,36.19
26-12-2016,35.682
23-12-2016,36.211
22-12-2016,36.227
21-12-2016,36.698
20-12-2016,36.709
19-12-2016,37.028
16-12-2016,37.166
15-12-2016,37.227
14-12-2016,37.219
13-12-2016,37.541
12-12-2016,37.563
09-12-2016,37.995
08-12-2016,37.919
07-12-2016,37.408
06-12-2016,37.505
05-12-2016,37.335
02-12-2016,37.281
01-12-2016,37.864
30-11-2016,38.181
29-11-2016,37.672
28-11-2016,37.449
25-11-2016,37.161
24-11-2016,36.615
23-11-2016,36.882
22-11-2016,36.58
21-11-2016,36.132
18-11-2016,37.059
17-11-2016,37.121
16-11-2016,37.172
15-11-2016,37.154
11-11-2016,38.573
10-11-2016,39.997
09-11-2016,39.369
08-11-2016,39.885
07-11-2016,39.584
04-11-2016,39.155
03-11-2016,39.693
02-11-2016,40.125
01-11-2016,40.797
28-10-2016,40.579
27-10-2016,40.238
26-10-2016,40.722
25-10-2016,41.119
24-10-2016,40.988
21-10-2016,40.912
20-10-2016,40.712
19-10-2016,40.566
18-10-2016,40.54
17-10-2016,39.949
14-10-2016,40.25
13-10-2016,39.954
10-10-2016,40.47
07-10-2016,40.349
06-10-2016,40.369
05-10-2016,40.404
04-10-2016,40.213
03-10-2016,39.898
30-09-2016,38.995
29-09-2016,38.47
28-09-2016,39.443
27-09-2016,39.049
26-09-2016,39.077
23-09-2016,39.205
22-09-2016,39.159
21-09-2016,38.682
20-09-2016,38.7
19-09-2016,38.833
16-09-2016,38.478
15-09-2016,38.446
14-09-2016,38.396
12-09-2016,38.095
09-09-2016,39.052
08-09-2016,39.282
07-09-2016,39.107
06-09-2016,39.114
02-09-2016,38.626
01-09-2016,38.441
31-08-2016,38.55
30-08-2016,38.416
29-08-2016,38.08
